Date;SB;Attendance;Winner;QB  Winner;Coach Winner;Winning Pts;Loser;QB Loser;Coach Loser;Losing Pts;MVP;Stadium;City;State;Point Difference;Referee;Umpire;Head Linesman;Line Judge;Field Judge;Back Judge;Side Judge;Geo Shape;Geo Point 2D
2001-01-28;XXXV;71921;Baltimore Ravens;Trent Dilfer;Brian Billick;34;New York Giants;Kerry Collins;Jim Fassel;7;Ray Lewis;Raymond James Stadium;Tampa;Florida;27;Gerald Austin;Chad Brown;Tony Veteri, Jr.;Walt Anderson;Bill Lovett;Bill Schmitz;Doug Toole;"{""coordinates"": [[[-80.056539285, 26.88], [-80.088015, 26.205765], [-80.13156, 25.816775], [-80.38103, 25.20616], [-80.6797985501, 25.0799164902], [-81.1719132148, 25.2010977239], [-81.3301206123, 25.6397531194], [-81.7100715807, 25.869945787], [-82.2397808499, 26.7298416204], [-82.70515, 27.49504], [-82.85526, 27.88624], [-82.6498850166, 28.5501697861], [-82.93, 29.1], [-83.70959, 29.93656], [-84.0997965156, 30.0900499537], [-85.10882, 29.63615], [-85.28784, 29.68612], [-85.7731, 30.15261], [-86.4000695462, 30.4001602239], [-87.5303881498, 30.2741989202], [-87.4578861152, 30.4112706569], [-87.4049694486, 30.60864879], [-87.6330433825, 30.8515280218], [-87.6171528796, 30.9277249212], [-87.0456632149, 30.9848790553], [-85.0051934476, 30.9906926539], [-84.8533164131, 30.7213550888], [-83.8478997464, 30.6753113877], [-82.2260090807, 30.5255530869], [-82.151930915, 30.3509384222], [-82.022817349, 30.4403644882], [-82.0201560127, 30.7880176865], [-81.8995173815, 30.8218915878], [-81.7015966458, 30.7483301865], [-81.4904725817, 30.7298300237], [-81.31371, 30.03552], [-80.979831916, 29.17989879], [-80.535585, 28.47213], [-80.5300402493, 28.0400717229], [-80.056539285, 26.88]]], ""type"": ""Polygon""}";28.6169283051,-82.5025741003
1970-01-11;IV;80562;Kansas City Chiefs;Len Dawson, Mike Livingston;Hank Stram;23;Minnesota Vikings;Joe Kapp;Bud Grant;7;Len Dawson;Tulane Stadium;New Orleans;Louisiana;16;;;;;;;;"{""coordinates"": [[[-89.21767, 29.29108], [-89.4083872139, 29.1597708196], [-89.77928, 29.30714], [-90.15463, 29.11743], [-90.880225, 29.148535], [-91.626785, 29.677], [-92.49906, 29.5523], [-93.22637, 29.78375], [-93.84842, 29.71363], [-93.9184736804, 29.8217717555], [-93.8168778145, 29.9683519557], [-93.6671195137, 30.1006436223], [-93.6644840157, 30.3001404892], [-93.7375028145, 30.3668030869], [-93.6501954821, 30.6054706894], [-93.5861683825, 30.7139395208], [-93.4898435127, 31.0796019557], [-93.5782360502, 31.2161310898], [-93.6941204496, 31.4436624212], [-93.7793090482, 31.67543122], [-93.8348612129, 31.8299437526], [-93.9989080472, 31.9426500514], [-94.0597570463, 33.0121196559], [-93.0940278796, 33.0105176865], [-92.0013038806, 33.0438748235], [-91.1562391833, 33.0100009222], [-91.0847965157, 32.9528467881], [-91.1757987129, 32.8083853216], [-91.0308204821, 32.6025322535], [-91.0720841133, 32.4787155218], [-90.9429705472, 32.3067363551], [-91.0816184151, 32.2045978867], [-91.1281788806, 32.0156946884], [-91.3213195463, 31.8595801865], [-91.4112882149, 31.6500322535], [-91.5022904121, 31.408729153], [-91.6245310127, 31.297082221], [-91.5837841459, 31.0473300237], [-90.7016674466, 31.0155748561], [-89.7592185127, 31.0134561224], [-89.7877955798, 30.8472905543], [-89.8539414131, 30.68324372], [-89.790456916, 30.5567914902], [-89.6586820137, 30.4408812526], [-89.6232319811, 30.2752582871], [-89.6047059802, 30.1762979192], [-89.413735, 29.89419], [-89.43, 29.48864], [-89.21767, 29.29108]]], ""type"": ""Polygon""}";31.0480777894,-91.9572061819
1993-01-31;XXVII;98374;Dallas Cowboys;Troy Aikman;Jimmy Johnson;52;Buffalo Bills;Jim Kelly, Frank Reich;Marv Levy;17;Troy Aikman;Rose Bowl;Pasadena;California;35;Dick Hantak;Ron Botchan;Ron Phares;Dick McKenzie;Donnie Hampton;Jim Poole;Dean Look;"{""coordinates"": [[[-114.3549006824, 34.464666653], [-114.165971646, 34.2725853541], [-114.4691831124, 34.0672748886], [-114.5485581124, 33.6095250514], [-114.7433007475, 33.3798749863], [-114.6914434477, 33.2036841904], [-114.6559934152, 33.0539000514], [-114.479776781, 32.9163373886], [-114.5898475818, 32.7162979192], [-114.72139, 32.72083], [-115.9910798816, 32.6125833196], [-117.1277288481, 32.5353270533], [-117.2959376913, 33.0462246152], [-117.944, 33.6212364312], [-118.4106022759, 33.7409092231], [-118.5198948228, 34.0277815776], [-119.081, 34.078], [-119.438840642, 34.3484771783], [-120.367816122, 34.4472258571], [-120.6228651536, 34.6086113551], [-120.7445889899, 35.1568207871], [-121.714555624, 36.1617206894], [-122.5474505215, 37.5518167181], [-122.5120004889, 37.7836113551], [-122.9533172207, 38.1137979193], [-123.7269650885, 38.9514728867], [-123.8650703538, 39.7669269883], [-124.3979577236, 40.3130176865], [-124.1788754889, 41.1422435573], [-124.2138087572, 41.9994780544], [-119.9989755866, 41.9926050889], [-120.0000349534, 38.9953978542], [-118.1146195138, 37.6444208847], [-116.3207496814, 36.3220468206], [-114.642221646, 35.0531061875], [-114.6221195138, 34.9636801214], [-114.5670841134, 34.8282103541], [-114.4845310128, 34.6530530869], [-114.3549006824, 34.464666653]]], ""type"": ""Polygon""}";37.2551445335,-119.640543961
1999-01-31;XXXIII;74803;Denver Broncos;John Elway;Mike Shanahan;34;Atlanta Falcons;Chris Chandler;Dan Reeves;19;John Elway;Pro Player Stadium;Miami Gardens;Florida;15;Bernie Kukar;Jim Daopoulos;Sanford Rivers;Ron Baynes;Tim Millis;Don Hakes;Gary Lane;"{""coordinates"": [[[-80.056539285, 26.88], [-80.088015, 26.205765], [-80.13156, 25.816775], [-80.38103, 25.20616], [-80.6797985501, 25.0799164902], [-81.1719132148, 25.2010977239], [-81.3301206123, 25.6397531194], [-81.7100715807, 25.869945787], [-82.2397808499, 26.7298416204], [-82.70515, 27.49504], [-82.85526, 27.88624], [-82.6498850166, 28.5501697861], [-82.93, 29.1], [-83.70959, 29.93656], [-84.0997965156, 30.0900499537], [-85.10882, 29.63615], [-85.28784, 29.68612], [-85.7731, 30.15261], [-86.4000695462, 30.4001602239], [-87.5303881498, 30.2741989202], [-87.4578861152, 30.4112706569], [-87.4049694486, 30.60864879], [-87.6330433825, 30.8515280218], [-87.6171528796, 30.9277249212], [-87.0456632149, 30.9848790553], [-85.0051934476, 30.9906926539], [-84.8533164131, 30.7213550888], [-83.8478997464, 30.6753113877], [-82.2260090807, 30.5255530869], [-82.151930915, 30.3509384222], [-82.022817349, 30.4403644882], [-82.0201560127, 30.7880176865], [-81.8995173815, 30.8218915878], [-81.7015966458, 30.7483301865], [-81.4904725817, 30.7298300237], [-81.31371, 30.03552], [-80.979831916, 29.17989879], [-80.535585, 28.47213], [-80.5300402493, 28.0400717229], [-80.056539285, 26.88]]], ""type"": ""Polygon""}";28.6169283051,-82.5025741003
2018-02-04;LII;67612;Philadelphia Eagles;Nick Foles;Doug Pederson;41;New England Patriots;Tom Brady;Bill Belichick;33;Nick Foles;U.S. Bank Stadium;Minneapolis;Minnesota;8;Gene Steratore;Roy Ellison;Jerry Bergman;Byron Boston;Tom Hill;Perry Paganelli;Scott Edwards;"{""coordinates"": [[[-89.5994091459, 48.0102739528], [-89.4888845572, 48.0134388786], [-89.5226954821, 47.9605353867], [-89.6136976794, 47.8192520209], [-89.7280059476, 47.6419760199], [-89.8428309802, 47.4647258571], [-89.9576560127, 47.2869072536], [-90.1317539131, 47.2927466905], [-90.3058518135, 47.2980176865], [-90.4799497139, 47.3038571234], [-90.6540476143, 47.3091281195], [-90.8577819486, 47.2128290879], [-91.0609736804, 47.1170468207], [-91.2647080147, 47.0212645534], [-91.468442349, 46.9249655218], [-91.5922590808, 46.8762604844], [-91.7166184151, 46.8276071234], [-91.8409777494, 46.7783853216], [-91.9647944812, 46.7297061224], [-92.0118975492, 46.711722724], [-92.2748789131, 46.656144721], [-92.264827847, 46.0952228867], [-92.2965830147, 46.0962822536], [-92.5436997139, 45.9856946885], [-92.75696835, 45.8899124212], [-92.899827847, 45.7057634548], [-92.6892205472, 45.5184363877], [-92.7654174467, 45.267082221], [-92.7664768135, 44.9961426865], [-92.79665585, 44.7760269232], [-92.5050715808, 44.5839197861], [-92.3854923164, 44.5749280869], [-92.0621528796, 44.4325853542], [-91.9499891833, 44.3648375514], [-91.8796058825, 44.2574280869], [-91.6277091133, 44.0854489203], [-91.2895902168, 43.9372925889], [-91.2572924466, 43.8547394883], [-91.2546569486, 43.6139789902], [-91.2281986153, 43.5012468532], [-92.540004849, 43.5197728542], [-94.001026781, 43.513416653], [-95.3599360827, 43.5001874863], [-96.4526600818, 43.5017894557], [-96.4394309151, 44.4357634548], [-96.5606121488, 45.3930176865], [-96.7357694161, 45.4708165554], [-96.8347039457, 45.6253290879], [-96.7807279122, 45.7607988552], [-96.5568914457, 45.8724457871], [-96.5394506498, 46.0179666205], [-96.5389080473, 46.1994800889], [-96.6013590157, 46.3513571234], [-96.6854882474, 46.513285224], [-96.7336506823, 46.7164769557], [-96.7458204821, 46.9445250515], [-96.7796943835, 46.9990436875], [-96.8204154122, 47.2922040879], [-96.8246528796, 47.4266144883], [-96.8442382474, 47.5461937526], [-96.8939768135, 47.7488687201], [-97.0151580473, 47.9542050238], [-97.1310424467, 48.1372946234], [-97.1485090808, 48.3187822536], [-97.1612214831, 48.5145842556], [-97.1273475818, 48.6421216905], [-97.1204746163, 48.7585228542], [-97.2141381498, 48.9024417181], [-97.2289434476, 49.0008853216], [-95.1588372465, 48.9998259548], [-95.1562017484, 49.3840143907], [-94.8175402494, 49.3892853867], [-94.6402642484, 48.8400165879], [-94.3291204496, 48.6706729193], [-93.6306101143, 48.6092813177], [-92.6098455472, 48.4500145534], [-91.6398789131, 48.1399301214], [-90.8302642484, 48.2701030544], [-89.5999517484, 48.0102739528], [-89.5994091459, 48.0102739528]]], ""type"": ""Polygon""}";46.3600731634,-94.1774361191
1991-01-27;XXV;73813;New York Giants;Jeff Hostetler;Bill Parcells;20;Buffalo Bills;Jim Kelly;Marv Levy;19;Ottis Anderson;Tampa Stadium;Tampa;Florida;1;Jerry Seeman;Art Demmas;Sid Semon;Dick McKenzie;Jack Vaughan;Banks Williams;Larry Nemmers;"{""coordinates"": [[[-80.056539285, 26.88], [-80.088015, 26.205765], [-80.13156, 25.816775], [-80.38103, 25.20616], [-80.6797985501, 25.0799164902], [-81.1719132148, 25.2010977239], [-81.3301206123, 25.6397531194], [-81.7100715807, 25.869945787], [-82.2397808499, 26.7298416204], [-82.70515, 27.49504], [-82.85526, 27.88624], [-82.6498850166, 28.5501697861], [-82.93, 29.1], [-83.70959, 29.93656], [-84.0997965156, 30.0900499537], [-85.10882, 29.63615], [-85.28784, 29.68612], [-85.7731, 30.15261], [-86.4000695462, 30.4001602239], [-87.5303881498, 30.2741989202], [-87.4578861152, 30.4112706569], [-87.4049694486, 30.60864879], [-87.6330433825, 30.8515280218], [-87.6171528796, 30.9277249212], [-87.0456632149, 30.9848790553], [-85.0051934476, 30.9906926539], [-84.8533164131, 30.7213550888], [-83.8478997464, 30.6753113877], [-82.2260090807, 30.5255530869], [-82.151930915, 30.3509384222], [-82.022817349, 30.4403644882], [-82.0201560127, 30.7880176865], [-81.8995173815, 30.8218915878], [-81.7015966458, 30.7483301865], [-81.4904725817, 30.7298300237], [-81.31371, 30.03552], [-80.979831916, 29.17989879], [-80.535585, 28.47213], [-80.5300402493, 28.0400717229], [-80.056539285, 26.88]]], ""type"": ""Polygon""}";28.6169283051,-82.5025741003
2000-01-30;XXXIV;72625;St. Louis Rams;Kurt Warner;Dick Vermeil;23;Tennessee Titans;Steve McNair;Jeff Fisher;16;Kurt Warner;Georgia Dome;Atlanta;Georgia;7;Bob McElwee;Ron Botchan;Earnie Frantz;Byron Boston;Al Jury;Bill Leavy;Tom Fincken;"{""coordinates"": [[[-80.8650068835, 32.0331613226], [-81.33629, 31.44049], [-81.4904725817, 30.7298300237], [-81.7015966458, 30.7483301865], [-81.8995173815, 30.8218915878], [-82.0201560127, 30.7880176865], [-82.022817349, 30.4403644882], [-82.151930915, 30.3509384222], [-82.2260090807, 30.5255530869], [-83.8478997464, 30.6753113877], [-84.8533164131, 30.7213550888], [-85.0051934476, 30.9906926539], [-85.0544152494, 31.1086957871], [-85.1178997464, 31.236233222], [-85.0903820462, 31.4002800563], [-85.0655256823, 31.5770134547], [-85.1195017158, 31.7653998886], [-85.0639237129, 32.083416653], [-84.8988433499, 32.2591165227], [-84.9861506823, 32.4379686549], [-85.1295527819, 32.7507144231], [-85.3655590482, 33.7444780543], [-85.6253881497, 34.9859009873], [-84.85437578, 34.9769092881], [-84.3209716458, 34.9869603541], [-83.0763706123, 34.9790280218], [-83.1859246488, 34.8959581569], [-83.3462507799, 34.7065123561], [-83.0763706123, 34.5403467881], [-82.9028153144, 34.479497789], [-82.7165476143, 34.1630571559], [-82.5974851143, 33.9857811549], [-82.2492893135, 33.7487155218], [-82.1805079821, 33.6243561875], [-81.943442349, 33.46136872], [-81.827015347, 33.22324372], [-81.5073966133, 33.0216281194], [-81.4359539456, 32.7930374212], [-81.376706916, 32.6824498561], [-81.4110975817, 32.6088884547], [-81.2248298815, 32.4993602565], [-81.1264121162, 32.3120331894], [-81.1279882474, 32.1215280218], [-81.0364434476, 32.0844760198], [-80.8650068835, 32.0331613226]]], ""type"": ""Polygon""}";32.6524688988,-83.4510929921
1982-01-24;XVI;81270;San Francisco 49ers;Joe Montana;Bill Walsh;26;Cincinnati Bengals;Ken Anderson;Forrest Gregg;21;Joe Montana;Pontiac Silverdome;Pontiac;Michigan;5;Pat Haggerty;Al Conway;Jerry Bergman;Bob Beeks;Don Hakes;Bill Swanson;Bob Rice;"{""coordinates"": [[[-90.3952778796, 46.6116771511], [-90.3555903796, 46.6730687526], [-90.298978848, 46.7609186875], [-90.2418247139, 46.8482260199], [-90.1852131823, 46.9360759548], [-90.1280590482, 47.0239000515], [-90.0714475166, 47.1117499863], [-90.0148101468, 47.1995999212], [-89.9576560127, 47.2869072536], [-89.8428309802, 47.4647258571], [-89.7280059476, 47.6419760199], [-89.6136976794, 47.8192520209], [-89.5226954821, 47.9605353867], [-89.4888845572, 48.0152632178], [-89.2729174466, 48.0198082546], [-89.1856101143, 48.0473259548], [-88.3781141833, 48.3029175889], [-87.4943955147, 47.9615947536], [-87.2081080798, 47.8483716905], [-86.9218464831, 47.7351227891], [-86.6720684476, 47.6361624212], [-86.4953350492, 47.5668384873], [-86.4286466133, 47.5398375515], [-86.2344465807, 47.4599457871], [-86.0402465482, 47.3800540228], [-85.84656328, 47.3001364203], [-85.6523632474, 47.2202188177], [-85.4581632149, 47.1398102891], [-85.2639631823, 47.0598926865], [-85.0702799141, 46.9800009222], [-84.8760798815, 46.9000833197], [-84.8268580798, 46.7667322862], [-84.7792382474, 46.6371019557], [-84.5437487454, 46.5386841904], [-84.5432319811, 46.5386841904], [-84.6049, 46.4396], [-84.3367, 46.40877], [-84.1421195137, 46.5122258571], [-84.1283735827, 46.4836487901], [-84.115144416, 46.370916653], [-84.0918512642, 46.2754186061], [-83.890765347, 46.1169269883], [-83.7632279121, 46.1089688177], [-83.6690476143, 46.1227405869], [-83.6161309476, 46.1169269883], [-83.4695507474, 45.9946863877], [-83.5928507148, 45.8168936224], [-83.3970487129, 45.7290436875], [-83.1790516833, 45.6327188177], [-82.9192225817, 45.5179196234], [-82.7604725817, 45.4475104844], [-82.5509246488, 45.3475165879], [-82.5154746162, 45.2041144883], [-82.4852955797, 45.0839926214], [-82.4466674466, 44.9157083197], [-82.4075225491, 44.743729153], [-82.3683518135, 44.5728093532], [-82.3265455797, 44.3912958848], [-82.2810444811, 44.1923416205], [-82.2408402168, 44.015608222], [-82.1963726468, 43.8224417181], [-82.1376423815, 43.5710875514], [-82.1905590482, 43.4742717555], [-82.4170310127, 43.0176071234], [-82.429743415, 42.9800383571], [-82.9001798164, 42.4302269557], [-83.1197788154, 42.0799124212], [-83.1287705146, 42.0688019883], [-83.1419996813, 41.9756810573], [-83.4626777819, 41.6941478542], [-83.8399674141, 41.6851561549], [-84.295055915, 41.6851561549], [-84.8067559476, 41.6777405869], [-84.8072985501, 41.7560562201], [-85.7481455147, 41.7513019883], [-86.8244622464, 41.7560562201], [-86.8244622464, 41.76083629], [-86.91812578, 41.76083629], [-87.2213372464, 41.76083629], [-87.1758361478, 41.9439000514], [-87.1303350492, 42.1270154893], [-87.0848081123, 42.3095624863], [-87.0393070137, 42.4926520859], [-87.0795371162, 42.7821176214], [-87.1139277819, 43.0302936875], [-87.1551914131, 43.3266321885], [-87.145140347, 43.5710875514], [-87.1419622464, 43.6578781195], [-87.0832319811, 43.8901895208], [-87.0324340482, 44.0912883571], [-86.9186683825, 44.3616852891], [-86.8223435127, 44.5913353542], [-86.7149340482, 44.846410224], [-86.536081916, 45.0416696234], [-86.4016715156, 45.1332144232], [-86.264599779, 45.2268779567], [-86.48156328, 45.3231769883], [-86.774206916, 45.4522905544], [-86.9424653796, 45.4522905544], [-87.1155039131, 45.4522905544], [-87.2446174792, 45.2898456895], [-87.4197747464, 45.1840123561], [-87.4594622464, 45.0681279567], [-87.6129154121, 45.1104509548], [-87.613974779, 45.1088748236], [-87.7473258125, 45.2268779567], [-87.6732476468, 45.3877466904], [-87.8933892484, 45.3967125514], [-87.8478881498, 45.5591832546], [-87.7870133125, 45.6396176214], [-87.87540585, 45.7798416205], [-88.1119288806, 45.8433519557], [-88.1669642809, 46.0079155544], [-88.361706916, 46.0206279567], [-88.6442736478, 46.0222040879], [-89.2210601468, 46.2021155869], [-90.0963038806, 46.3809935573], [-90.1767382474, 46.5608792181], [-90.3339121162, 46.5936937526], [-90.3349714831, 46.5968718532], [-90.396879849, 46.5762529567], [-90.41062578, 46.5841852891], [-90.3952778796, 46.6116771511]]], ""type"": ""Polygon""}";44.8652154769,-85.7297151447
2014-02-02;XLVIII;82529;Seattle Seahawks;Russell Wilson;Pete Carroll;43;Denver Broncos;Peyton Manning;John Fox;8;Malcolm Smith;MetLife Stadium;East Rutherford;New Jersey;35;Terry McAulay;Carl Paganelli;Jim Mello;Tom Symonette;Scott Steenson;Steve Freeman;Dave Wyant;"{""coordinates"": [[[-73.9127955797, 40.9601874863], [-73.952325, 40.75075], [-74.256753913, 40.4733696559], [-73.96244, 40.42763], [-74.1784382799, 39.7092560898], [-74.9060424466, 38.9393030869], [-74.9806632148, 39.1964966904], [-75.2002622138, 39.2483539902], [-75.5278132799, 39.49864879], [-75.5542716132, 39.6912468532], [-75.4055726793, 39.7955040553], [-75.2008048164, 39.8870488551], [-75.1288195462, 39.9494998236], [-74.8917539131, 40.0817914902], [-74.7631829495, 40.1907770859], [-75.0780216132, 40.4495468206], [-75.0954882474, 40.555380154], [-75.2039570787, 40.5866185573], [-75.199202847, 40.7474614528], [-75.0822590807, 40.8697020534], [-75.1357183499, 40.9998749863], [-74.975908983, 41.0877249212], [-74.8012684801, 41.3115613877], [-74.6790278795, 41.3554863551], [-73.9127955797, 40.9601874863]]], ""type"": ""Polygon""}";40.2057113452,-74.6705438062
2019-02-03;LIII;70081;New England Patriots;Tom Brady;Bill Belichick;13;Los Angeles Rams;Jared Goff;Sean McVay;3;Julian Edelman;Mercedes-Benz Stadium;Atlanta;Georgia;10;John Parry;Fred Bryan;Ed Camp;Jeff Bergman;Steve Zimmer;Terrence Miles;Eugene Hall;"{""coordinates"": [[[-80.8650068835, 32.0331613226], [-81.33629, 31.44049], [-81.4904725817, 30.7298300237], [-81.7015966458, 30.7483301865], [-81.8995173815, 30.8218915878], [-82.0201560127, 30.7880176865], [-82.022817349, 30.4403644882], [-82.151930915, 30.3509384222], [-82.2260090807, 30.5255530869], [-83.8478997464, 30.6753113877], [-84.8533164131, 30.7213550888], [-85.0051934476, 30.9906926539], [-85.0544152494, 31.1086957871], [-85.1178997464, 31.236233222], [-85.0903820462, 31.4002800563], [-85.0655256823, 31.5770134547], [-85.1195017158, 31.7653998886], [-85.0639237129, 32.083416653], [-84.8988433499, 32.2591165227], [-84.9861506823, 32.4379686549], [-85.1295527819, 32.7507144231], [-85.3655590482, 33.7444780543], [-85.6253881497, 34.9859009873], [-84.85437578, 34.9769092881], [-84.3209716458, 34.9869603541], [-83.0763706123, 34.9790280218], [-83.1859246488, 34.8959581569], [-83.3462507799, 34.7065123561], [-83.0763706123, 34.5403467881], [-82.9028153144, 34.479497789], [-82.7165476143, 34.1630571559], [-82.5974851143, 33.9857811549], [-82.2492893135, 33.7487155218], [-82.1805079821, 33.6243561875], [-81.943442349, 33.46136872], [-81.827015347, 33.22324372], [-81.5073966133, 33.0216281194], [-81.4359539456, 32.7930374212], [-81.376706916, 32.6824498561], [-81.4110975817, 32.6088884547], [-81.2248298815, 32.4993602565], [-81.1264121162, 32.3120331894], [-81.1279882474, 32.1215280218], [-81.0364434476, 32.0844760198], [-80.8650068835, 32.0331613226]]], ""type"": ""Polygon""}";32.6524688988,-83.4510929921
1977-01-09;XI;103438;Oakland Raiders;Kenny Stabler;John Madden;32;Minnesota Vikings;Fran Tarkenton;Bud Grant;14;Fred Biletnikoff;Rose Bowl;Pasadena;California;18;Jim Tunney;Lou Palazzi;Ed Marion;Bill Swanson;Armen Terzian;Tom Kelleher;;"{""coordinates"": [[[-114.3549006824, 34.464666653], [-114.165971646, 34.2725853541], [-114.4691831124, 34.0672748886], [-114.5485581124, 33.6095250514], [-114.7433007475, 33.3798749863], [-114.6914434477, 33.2036841904], [-114.6559934152, 33.0539000514], [-114.479776781, 32.9163373886], [-114.5898475818, 32.7162979192], [-114.72139, 32.72083], [-115.9910798816, 32.6125833196], [-117.1277288481, 32.5353270533], [-117.2959376913, 33.0462246152], [-117.944, 33.6212364312], [-118.4106022759, 33.7409092231], [-118.5198948228, 34.0277815776], [-119.081, 34.078], [-119.438840642, 34.3484771783], [-120.367816122, 34.4472258571], [-120.6228651536, 34.6086113551], [-120.7445889899, 35.1568207871], [-121.714555624, 36.1617206894], [-122.5474505215, 37.5518167181], [-122.5120004889, 37.7836113551], [-122.9533172207, 38.1137979193], [-123.7269650885, 38.9514728867], [-123.8650703538, 39.7669269883], [-124.3979577236, 40.3130176865], [-124.1788754889, 41.1422435573], [-124.2138087572, 41.9994780544], [-119.9989755866, 41.9926050889], [-120.0000349534, 38.9953978542], [-118.1146195138, 37.6444208847], [-116.3207496814, 36.3220468206], [-114.642221646, 35.0531061875], [-114.6221195138, 34.9636801214], [-114.5670841134, 34.8282103541], [-114.4845310128, 34.6530530869], [-114.3549006824, 34.464666653]]], ""type"": ""Polygon""}";37.2551445335,-119.640543961
2004-02-01;XXXVIII;71525;New England Patriots;Tom Brady;Bill Belichick;32;Carolina Panthers;Jake Delhomme;John Fox;29;Tom Brady;Reliant Stadium;Houston;Texas;3;Ed Hochuli;Jeff Rice;Mark Hittner;Ben Montgomery;Tom Sifferman;Scott Green;Laird Hayes;"{""coordinates"": [[[-93.5782360502, 31.2161310898], [-93.4898435127, 31.0796019557], [-93.5861683825, 30.7139395208], [-93.6501954821, 30.6054706894], [-93.7375028145, 30.3668030869], [-93.6644840157, 30.3001404892], [-93.6671195137, 30.1006436223], [-93.8168778145, 29.9683519557], [-93.9184736804, 29.8217717555], [-93.84842, 29.71363], [-94.6900028145, 29.4799321559], [-95.6001798165, 28.73855622], [-96.5939434476, 28.3072905543], [-97.1400341459, 27.8299811874], [-97.3702268135, 27.3801895208], [-97.3797611153, 26.6901541204], [-97.3300225492, 26.2102092555], [-97.1400341459, 25.869945787], [-97.5300361804, 25.8397925888], [-98.2401737129, 26.0599341904], [-99.020177782, 26.3700186223], [-99.3001090157, 26.8399124212], [-99.520224779, 27.5399988876], [-100.1102662829, 28.1099124212], [-100.4558007475, 28.696233222], [-100.9574497139, 29.380971788], [-101.6622904122, 29.7794229192], [-102.4798632475, 29.7598633896], [-103.1101090157, 28.9698082545], [-103.9398258126, 29.2698416204], [-104.4568226794, 29.57199372], [-104.7055413481, 30.1218051214], [-105.0373298816, 30.6440988225], [-105.6315830147, 31.0838394231], [-106.142766283, 31.3997374537], [-106.5073435128, 31.7542894557], [-106.6195330473, 31.9140988226], [-106.6301267159, 31.9992874212], [-105.73000078, 31.9992874212], [-103.9297747465, 31.9992874212], [-103.0016143461, 31.9992874212], [-103.0016143461, 33.8799478216], [-103.0016143461, 36.4993228216], [-102.0014945137, 36.4993228216], [-101.0008320788, 36.4993228216], [-100.0001954822, 36.4993228216], [-100.0001954822, 35.5198477239], [-100.0001954822, 34.5652289902], [-99.7615278796, 34.4577936875], [-99.5990830147, 34.3762999537], [-99.3360758126, 34.4429625514], [-99.1874027169, 34.2355591904], [-98.8518934802, 34.1646332871], [-98.553978848, 34.1106572536], [-98.0883225167, 34.1344800888], [-97.9570902169, 33.8936937526], [-97.6570310128, 33.9937134873], [-97.3765830147, 33.8381415879], [-97.104067349, 33.7735977239], [-96.9479528471, 33.9180591904], [-96.7966184151, 33.7513510198], [-96.4627111478, 33.8053270534], [-96.3161309476, 33.7561310898], [-96.1489060127, 33.7979373235], [-95.9774694486, 33.8794310573], [-95.7694976469, 33.8810071884], [-95.4181237455, 33.8704135198], [-95.1905924141, 33.9381613226], [-94.9101444161, 33.8317853867], [-94.479912279, 33.6359833847], [-94.4275382149, 33.5703801539], [-94.2333381823, 33.5836093206], [-94.0020861478, 33.5799144557], [-94.0597570463, 33.0121196559], [-93.9989080472, 31.9426500514], [-93.8348612129, 31.8299437526], [-93.7793090482, 31.67543122], [-93.6941204496, 31.4436624212], [-93.5782360502, 31.2161310898]]], ""type"": ""Polygon""}";31.4555082562,-99.328675661
1969-01-12;III;75389;New York Jets;Joe Namath;Weeb Ewbank;16;Baltimore Colts;Earl Morrall, Johnny Unitas;Don Shula;7;Joe Namath;Orange Bowl;Miami;Florida;9;;;;;;;;"{""coordinates"": [[[-80.056539285, 26.88], [-80.088015, 26.205765], [-80.13156, 25.816775], [-80.38103, 25.20616], [-80.6797985501, 25.0799164902], [-81.1719132148, 25.2010977239], [-81.3301206123, 25.6397531194], [-81.7100715807, 25.869945787], [-82.2397808499, 26.7298416204], [-82.70515, 27.49504], [-82.85526, 27.88624], [-82.6498850166, 28.5501697861], [-82.93, 29.1], [-83.70959, 29.93656], [-84.0997965156, 30.0900499537], [-85.10882, 29.63615], [-85.28784, 29.68612], [-85.7731, 30.15261], [-86.4000695462, 30.4001602239], [-87.5303881498, 30.2741989202], [-87.4578861152, 30.4112706569], [-87.4049694486, 30.60864879], [-87.6330433825, 30.8515280218], [-87.6171528796, 30.9277249212], [-87.0456632149, 30.9848790553], [-85.0051934476, 30.9906926539], [-84.8533164131, 30.7213550888], [-83.8478997464, 30.6753113877], [-82.2260090807, 30.5255530869], [-82.151930915, 30.3509384222], [-82.022817349, 30.4403644882], [-82.0201560127, 30.7880176865], [-81.8995173815, 30.8218915878], [-81.7015966458, 30.7483301865], [-81.4904725817, 30.7298300237], [-81.31371, 30.03552], [-80.979831916, 29.17989879], [-80.535585, 28.47213], [-80.5300402493, 28.0400717229], [-80.056539285, 26.88]]], ""type"": ""Polygon""}";28.6169283051,-82.5025741003
